Country,Continent,Capital,Language,Currency,Domain,Driving Side,License Plate,Bollard,Chevron,Utility Pole,Curb,Guardrail,Lanes,Stop Sign,Pedestrian Sign,Direction Sign,Road Number,Road Sign,Sign/Traffic Post,Architecture,Landscape,Google Car,Follow Car,Street,Rift,Camera Generation,Miscellaneous
Thailand,Asia,Bangkok,thai,,.th,left,"white,yellow_commercial",square_with_pointed_top_and_black_white_stripes,,"square_with_small_holes,red_and_black_or_black_and_white_stripes_painted_bottom,long_thin_lamp_posts_attached,nets_attached_central_and_south,insulators_with_8_ridges_Chiang_Rai_and_south",,,"white_outer,yellow_center",,,"green_background,blue_background",,"white_markers_pointed_top,yellow_diamond_shaped",white_square_painted_black_bottom,,"flat_and_dry_north_of_Bangkok_and_east,tall_mountains_northwest,palm_plantations_south,red_soil_Laos_border,rubber_wood_plantations_south,rice_fields_west_and_east","visible_left_side_mirror_far_south,bar_protruding_out_east_Bangkok",,"concrete_roads,royal_flags_painted_yellow,green_signs_with_white_text",,"3,4",
Turkey,Asia,Ankara,turkish,,.tr,right,eu_plate,thin_white_bollard_with_red_reflector,"red_on_white,yellow_on_black_upwards,narrow_white_on_red,lemon_on_black_far_east_and_far_west,black_on_yellow_Izmir","black_orange_black_white_snow_poles,ladder_shaped_metal_poles,meshed_metal_poles",,"type-A,type-B,red_reflectors","white,yellow",DUR,,"blue_background,white_background,blue_or_red_street_signs_with_round_top_Ankara,dark_blue_street_signs_bulged_outwards_Izmir,light_blue_and_grey_tourist_signs_far_west,red_street_signs_with_colored_bottom_strip_Istanbul,red_and_oval_shaped_street_signs_Trabzon_and_Yalvac,green_street_signs_with_extruded_letters_Bursa,flat_green_street_signs_without_border_Bolu",,"triangular,white_background,red_inner_border,white_outer_border",,"square_apartment_blocks,mosques,tall_minarets,structures_on_hills,tiled_roofs_west,flat_roofs_south_and_southeast,metal_roofs_east,horizontal_water_tanks_south,octagonal_water_tanks_south,spherical_water_tanks_southeast,greenhouses_southwest_coast","uncultivated_grasslands_northeast,tea_plantations_northeast,olive_trees_west_and_south,sunflowers_northwest,vineyards_Izmir,cotton_southeast,Lake_Van_east,volcanic_rocks_southeast,snow_coverage_Kayseri_and_Erzurum,mountainous_or_hilly_Kayseri,flat_Erzurum,banana_plantations_south","no_antenna_gen3,white_rear_gen4",,"grainy_roads,divided_highways,pedestrian_bricks_concaved_middle,yellow_taxis,metal_trash_bins_with_regional_hints,4_lane_divided_highways_with_no_divider_central_and_east",,"3,4",
United Arab Emirates,Asia,Abu Dhabi,"arabic,english",,.ae,right,"white_black_text,green_commercial",,,wooden_poles_with_3_insulators,"black_white,black_yellow",,"yellow_outer,white_center,yellow_center",,,"blue_background,green_background,arabic_and_english,blue_background_with_metal_border_Dubai",,"triangular,white_background,red_border",black_white_striped_with_circular_sign,"white_flat_topped_houses,race_track_Abu_Dhabi","mountainous_east,light_colored_mountains_visible_to_east_far_north,mountainous_west_flat_east_east_coast","white_rear_with_black_roof_racks_gen3,white_pickup_truck_gen4,black_rear_gen4,white_visible_mirrors_sparse_vegetation_Sir_Baniyas_Island,trekker_in_cities_Al_Ain,trekker_at_sand_dunes_far_south",,"divided_roads,roundabouts",TRUE,"3,4",
Albania,Europe,Tirana,albanian,,.al,right,"blue_strips_on_both_sides,left_red_strip,orange_taxis","black_top_with_red_and_grey_reflectors,thin_white_bollard_with_red_reflector_southeast",white_on_black,"upside_down_triangle,cross_shaped_6_insulators_grouped_by_2",,endings_bent_away_from_road,"white_outer,white_center,yellow_center",,5_stripes,"rruga,green_background",,"back_painted_black,bold_font_on_speed_signs,triangular,white_background,red_inner_border,white_outer_border,diamond_shaped_yellow_center_white_border",,"cylinder_shaped_water_tanks_on_roofs,orange_tiled_roofs,blocky_shapes,pastel_colors,balconies","mediterranean_climate,low_and_flat_west,mountainous_far_north_and_far_south","long_antenna,short_antenna",,"concrete_barrier_blocks,concrete_arches,yellow_taxis,,green_taxis_Tirana",TRUE,3,
Andorra,Europe,Andorra la Vella,catalan,,.ad,right,left_orange_dot,"snow_poles_with_variety_of_colors,spanish_bollards_with_smaller_reflectors",,square_holey_poles,,"type-A,yellow_reflectors","white_outer,white_center",,8_stripes,carrer,"CS,CG","green_and_red_markers,triangular,white_background,red_border,circular_signs_with_thick_red_border",,"stone_buildings,Caldea_tower_and_sky_wheel_Andorra_la_Vella,barren_mountains_Pas_de_la_Casa",mountainous,short_antenna_gen3,,"yellow_and_green_traffic_cones_with_2_white_stripes,pedestrian_crossings_with_red_and_white_stripes",,"2,3",snow_trekkers_gen2
Austria,Europe,Vienna,german,,.at,right,left_blue_strip,"black_cap_with_red_and_grey_reflectors,yellow_natural_gas_poles,red_and_white_striped_thin_poles","white_on_red,red_on_yellow",round_wooden_poles,,,"white_outer,white_center",,man_wearing_hat_with_2_dashed_lines,"blue_background,white_background_with_blue_outlines,green_background,EINBAHN",,"circular,thick_red_border,green_yellow_bus_stop_sign_with_H,blue_marker_with_2_numbers_separated_by_comma,Anfang,Ende",,"alpine_architecture,light_colored_walls,balconies,dark_colored_roofs_extending_outward","mountainous_central_and_west,vineyards_east","short_antenna,tin_foil_antenna_far_west",,,,"2,3,4",
Belarus,Europe,Minsk,"belarusian,russian",,.by,right,"white_black_text,white_red_text",black_bollard_looking_structure_resembling_chess_pawn,,,,,"white_outer,white_center",,3_stripes,green_background,,,,The_Holy_Spirit_Cathedral,,,,"grey_rectangular_tiles,pastel_colored_tiles",,trekker,
Belgium,Europe,Brussels,"dutch,french,german",,.be,right,"left_blue_strip,white_red_text","white_bollards_with_yellow_and_white_reflector,black_bollards_with_2_red_stripes",red_on_white,"concrete_square_shaped_with_tiny_holes,small_metal_wrappings,oval_shaped_holes,black_and_yellow_striped_traffic_posts,rocket_shaped_meshed_poles",,"type-A,yellow_reflectors","white_outer,white_center",,square_head_man_with_2_dashed_lines,"blue_background,white_background_with_black_outlines",,"triangular,white_background,red_border,additional_blue_sign,green_white_markers,circular_signs_with_small_orange_diamond,EXCEPTE_UITGEZONDERD,thick_red_border_Flanders,small_white_border_Wallonia","orange,yellow_busstop_signposts,white_rectangle_top_Flanders_and_Brussels,yellow_top_Wallonia","red_brick_houses,grey_roofs_south,blurred_houses,wall_of_buildings_northwest_coast,wind_turbines","flat_northwest,hilly_southeast","long_antenna,short_antenna,blurred",,"rural_concrete_road_blocks,white_bike_lanes,red_water_hydrants_with_tall_thin_post_and_letter_H,gutters_on_both_sides_of_roads,Netherlands_border_Baarle_Hertog,multidot_lines",,"2,3,4",
Bulgaria,Europe,Sofia,bulgarian,,.bg,right,left_blue_strip,"croatian_or_hungarian_bollards,manholes",red_on_white,"concrete_cylindrical,hook_shaped_insulators,upward_facing_insulators,downward_facing_insulators",,"type-A,red_reflectors","white_center,thin",,4_stripes,"¬å¬Ý¬Ú¬è¬Ñ,blue_background,white_background,bilingual,white_background_with_2_red_stripes_Sofia,brown_background_Stara_Zagora",,"skyblue_markers,triangular,white_background,red_border",,"orange_tiled_roofs,metallic_trash_bins,alpine_structures_south,white_stone_walls_and_cobblestone_streets_Nessebar","flat_fields_with_mountaints_in_distance_southwest,wind_turbines_northeast","blue_car,red_car,flag_antenna_gen3,invisible_gen4_north_and_west,red_rear_short_antenna_southeast_quadrant,short_flag_antenna_eastern_half,long_flag_antenna_central",,"yellow_taxis_with_checkerboard_patterns,cracks_on_roads",,"3,4",
Croatia,Europe,Zagreb,croatian,,.hr,right,"left_blue_strip,white,HR","white,black_rectangle_with_red_reflector","red_on_white,red_on_yellow","cylindrical_poles,alternating_hooks",,type-B,"white_outer,white_center",,"5_stripes,belt","green_background,yellow_background,black_outlines,town_names_ending_in_ec_north",,"triangular,white_background,red_border,green_markers",blue_traffic_sign_post_Rijeka,"red_brick_walls,blue_fire_hydrants,beige_bricks_Adriatic_coast","flat_northeast,hilly_agricultural_north,rocky_mountains_and_shrubs_Adriatic_coast,red_soil_Istria,vineyards_Serbian_border,cypress_trees_far_south","antenna,yellow_sticker_on_car_mirror_gen3,red_hat_gen2",,"Konzum_Plodine_supermarket_chains,trams_Zagreb_and_Osijek,blue_electric_trams_Zagreb",,"2,3,4",
Czechia,Europe,Prague,czech,,.cz,right,"left_blue_strip,white",double_orange_reflectors_with_white_reflector_back,"red_on_white,red_on_yellow","wide_concrete_poles,short_horizontal_bars,diagonal_support_bars_with_6_insulators,trident_arms_bent_upwards_with_tall_middle_supports_resembling_Indian_pole",,"type-B,wider","white_outer,white_center",,5_stripes,"arrow-shaped_signs,border_color_padded,blue_background,green_background,red_background,thin_font,white_background_east,pairs_of_black_and_white_house_plates_Brno,octogonal_red_and_white_house_plates_Pilsen,red_house_plate_with_Roman_numerals_Liberec,yellow_house_plate_with_black_outline_Pisek,bilingual_house_plates_Polish_border,blue_house_plate_with_large_text_Sumperk",,"yellow_markers,railway_cross_signs_without_background","thick_base,red_and_white_stripes,hiking_markers,black_caps","apartments_with_colorful_patterns,diagonal_tiled_roofs,houses_connected_in_pairs,dark_wooden_supports_with_white_stripes_north,multiple_houses_connected_with_large_front_doors_Moravia","rolling_hills,Moravian_wine_region_southeast,rolling_landscape_with_steep_solitary_hills","flag_antenna_gen3,long_antenna_with_partially_blue_rear",,,,"2,3,4",
Denmark,Europe,Copenhagen,danish,,.dk,right,"left_blue_strip,white,yellow,parrot","yellow_reflector_with_orange_stripe_on_top,blue_variant,square_stone_bollards_painted_red_on_top",red_on_white,large_overhead_power_lines,,type-B,"white_outer,white_center,small_white_squares",bus_stop_signs_with_5_windows,"5_stripes,touching_the_edge","pipe_frames,blue_background,green_background,white_background,street_names_ending_in_vej,green_bicycle_signs_Bornholm",,,pipe_frame_bent_around,"red_brick,orange_dark_brown_roofs,thatched_roofs,corrugated_roofs,timber_frame_walls,seaweed_roofs_Laeso","flat_fields,gloomy_overcast_weather_with_sandy_soil_Anholt","short_antenna_gen3,blue_rear_gen4",,"bicycle_paths,red_postal_boxes,Ingo_ok_uno-x_Yx_gas_station_brands,green_pink_busstop_Bornholm",,"2,3,4",
Estonia,Europe,Tallinn,estonian,,.ee,right,left_blue_strip,"thin,black_diagonal_strip_with_white_or_yellow_reflector,black_and_yellow_stripes_underground_powerlines",white_on_red,"round_or_square_poles_with_diagonal_support,trident_pole_tops,metal_cap_on_top",,"type-A,no_reflectors","white_outer,white_center,short_dashes_outer",bus_stop_signs_with_4_windows,"3_stripes,simpler_pedestrian_design","street_names_ending_in_tee,blue_oval_house_plates,blue_background",,"blue_marker_perpendicular_to_road,thin_red_border_without_white_outline",blue_and_white_stripes,"combination_of_wood_and_white_brick,corrugated_metal_roofs,painted_stone_walls","flat,forested",short_antenna,,"thin_roads,cyrillic_signs_northeast,green_maple_leaf_attached_on_car_windows",,"3,4",
Faroe Islands,Europe,Torshavn,faroese,,.fo,right,"left_blue_strip,blue_text",small_wooden_sticks_painted_red_and_yellow,red_on_white,,,"type-A,yellow_reflectors,rusty","white_outer,white_center",bus_stop_sign_with_5_windows,6_stripes,"yellow_background,black_outlines",,,,"wood,above_ground_basement,metal_or_grass_on_roofs,buildings_above_3_floors_Torshavn,wind_turbines_north,black_houses_with_red_window_frames_and_grass_on_roofs_central","long_wide_fjords,green_mountains,rocky_ridge_lines,no_trees,snowy_mountains_north_and_west,pyramid_shaped_snowy_mountains_north,wide_strait_central,low_clouds_far_north","roof_rack,no_clouds_south,hazy_south,foggy_far_south,boat_trekker_central",,traffic_mirrors,,3,
Finland,Europe,Helsinki,finnish,,.fi,right,"left_blue_strip,white_Aland","thin,black_diagonal_strip_with_white_reflector,orange_snow_poles_with_white_band_near_top,blue_poles_pipe_underground",yellow_on_black,wooden_poles,,"type-A,no_reflectors","solid_white_outer,white_center,yellow_center,dashed_outer_Aland","bus_stop_sign_with_5_or_7_windows,white_plate_with_4_numbers_and_semi_circle_on_top_Aland","5_stripes,walking_more_distance,4_stripes_Aland","street_names_ending_in_tie_or_katu,blue_background,white_text,white_arrow,sami_language_using_letter_c_north",,"yellow_background,red_inner_border,yellow_outer_border",blue_and_white_stripes,dark_red_wooden_houses,"birches,pine_trees,lakes,farmlands_southwest,wind_turbines_west_coast,thin_stunted_trees_north","long_antenna_southwest,no_antenna_south",,"k-market_s-market_chains,red_roads_Aland,green_and_yellow_trams_Helsinki,red_trams_Tampere,blue_and_white_buses_Helsinki,blue_bottom_buses_Tampere,yellow_buses_Turku,green_buses_Jyvaskyla,pink_buses_Oulu,ABC_gas_station",,"1,2,3,4",
France,Europe,Paris,french,,.fr,right,"left_blue_strip,white,yellow","white_with_cone_shaped_top_and_red_or_white_reflector,red_top,wedge_shaped_bollards_with_white_reflectors",white_on_blue,"ladder_poles,diamond_shaped_top,wooden_poles,thin_octagonal_metal_poles,blue_stickers,arrow_head_shaped_top",,"type-A,type-B,square_markers_with_red_top,cuboid_stone_barriers_Corsica","white_outer,white_center,long_dashed_right,2_offset_blocks_center,passing_zone_arrow",,"5_stripes,disconnected_head","RUE,blue_background_with_red_and_green_signs_attached,small_yellow_signs_starting_with_D,white_background,black_outline,blue_house_plates,Plou_northwestern_Brittany,Carriera_Toulouse,Carriero_Avignon,Karrika_far_south_west,u_iu_ju_Corsica,carrer_far_south,dark_blue_background_with_green_border_Paris,uninterrupted_white_border_Lyon,interrupted_white_border_with_city_emblem_upper_left_corner_Marseille,Arr_on_separate_sign_Bordeaux,M_written_upper_left_corner_Montpellier,red_slanted_fleur_de_lis_Lille",,"red_white_green_markers,triangular,white_background,red_outline,white_border,austrian_flag_colored_marker","flat_post,short_posts,dark_green_Brittany_and_Paris,dark_green_post_with_light_green_back_Calais,brown_back_Seine_et_Marne,dark_blue_post_French_Riviera,red_post_Bordeaux","grey_or_light_colored_stone_houses,wind_turbines_north,black_shingle_roofs_northwest_and_Pyrenees,black_roofs_edge_chimneys_black_slate_walls_stones_surrounding_doors_and_windows_Brittany,roofs_with_rounded_overlapping_tiles_south,dark_red_brick_houses_far_north,bright_orange_brick_buildings_with_wooden_shutters_Toulouse,uneven_stone_wall_houses_around_Paris,multi_story_bright_colored_buildings_south_east_coast,white_houses_with_timber_frame_south_west,houses_with_timber_frame_and_half_hip_roof_Alsace","red_road_Burgundy,flat_north_and_west,mountainous_southeast_and_southwest,hedges_west,stone_pines_southeast_coast,maritime_pines_southwest,wine_plantation_Bordeaux_Paris_south_coast,sun_flowers_southwest,lavender_fields_southeast,salt_farms_Ile_de_Re_and_Ile_de_Oleron","white_rear,long_antenna,red_flag_Belgian_border,blue_flag_far_east_and_central_west,short_grey_flag_east_and_northwest,green_flag_south_east,yellow_flag_far_south_west,red_blue_striped_flag_Brittany,long_grey_flag_south_of_Paris",,,,"2,3,4",
Germany,Europe,Berlin,german,,.de,right,left_blue_strip,"white,black_rectangle_with_white_reflector,2_bolts_back,darker_reflectors_northwest_and_southeast,green_top_west,wooden_bottom_southeast,orange_thin_bollards_southeast,red_cap_east,fully_yellow_bollards_east",red_on_white,"wooden_poles_with_small_white_sticker,horizontal_bars_with_uneven_insulators,triangles_on_top,T_shaped,round_concrete_poles_east,trident_pole_top_central_and_south",,"type-A,west,type-B,east","white_outer,white_center","bus_stop_sign_with_yellow_background_and_green_H,no_stop_signs_with_white_arrow","5_stripes,belt","EinbahnstraBe,yellow_background,black_outlines,white_background,street_names_ending_in_weg_str_straBe_bahn_stein",,"back_painted_black_or_grey_with_sticker,blue_markers,white_markers_southeast,smaller_white_markers_northwest,metallic_border_markers_northwest",,"blurred_houses,wind_turbines,thatched_roofs_north,black_slate_walls_middle","flat_north,hily_central,moutainous_south,pines_northeast,trees_painted_white_bottom_northeast,vineyards_southwest,hop_fields_around_Munich","blue_rear,antenna,black_and_white_rear_gen4_Hamburg_and_Frankfurt,antenna_gen3_Hamburg",,"yellow_mailbox,green_markers_on_trees_north",,"2,3,4",
Gibraltar,Europe,Gibraltar,english,,.gi,right,"left_blue_strip,white,yellow",,,,,,"yellow_outer,white_center,zigzag_lines",,,white_background,,,,"mediterranean_structure,minarets_south_coast",massive_limestone_mountain,long_antenna_with_silver_tip,,"christmas_decorations,monkeys",,3,
Greece,Europe,Athens,greek,,.gr,right,"left_blue_strip,white,yellow",black_diagonal_strip_with_square_red_and_white_reflectors,white_on_black,"tall_dark_brown_wooden_poles,harp_shaped_pole_tops,5_vertical_insulators,small_lamp_attached_with_round_shade",,type-A,"white_outer,soild_double_white_center,solid_double_yellow_center",,2_horizontal_dashed_lines,"blue_background,white_background,yellow_greek_and_white_latin,town_entry_signs_with_2_horizontal_blue_strips_top_and_bottom",,"yellow_background,red_border,blue_markers",,"miniature_churches,white_houses,orange_tiled_roofs,blue_fences_doors_shutters_Cyclade_islands,large_amount_of_antennas_on_roofs_Thessaloniki","mountainous,flat_agricultureal_valleys_north_and_central,tall_mountains_west,olive_plantations_Crete_and_southern_Peloponnese,citrus_plantations_south_coast","blurry_gen2,antenna_gen3,blue_rear_gen4",,"yellow_taxis_Athens,blue_taxis_Thessaloniki,buses_with_blue_and_yellow_pattern_Athens,buses_with_Romanian_flag_pattern_Thessaloniki",,"2,3,4",
Hungary,Europe,Budapest,hungarian,,.hu,right,"left_blue_strip,yellow","black_diagonal_strip_with_red_and_white_reflectors,blue_reflectors",white_on_red,"concrete_holey_pole_with_holes_reaching_ground,wooden_poles",,"type-A,red_reflectors","white_outer,white_center,yellow_bicycle_lanes",,"5_stripes,low_belt","street_names_ending_in_utca,E_roads_green,M_roads_blue,thick_metal_frame_west,blue_or_green_signs_attached_to_poles_east,roman_numeral_Budapest",,"green_markers,4_bolts_on_signs",tall_posts,"light_colored_houses_with_red_tiled_roofs,combined_houses,speed_camers_on_rectangular_steel_frames","flat_southeast,hills_and_mountains_north_and_west,",flag_antenna_gen3,,,,"2,3,4",
Iceland,Europe,Reykjavik,icelandic,,.is,right,white_blue_text,yellow_bolloards_with_white_reflector,yellow_on_black,,,type-A,"white_outer,white_center",,"4_stripes,yellow_tint","yellow_background,road_number_in_white_box,white_background,blue_background",,"yellow_background,red_border",,pastel_colored_houses,"barren,treeless,overcast_weather,dark_soil,mountainous,rugged,rocks,narrow_fjords_and_flat_topped_mountains_Westfjords,larger_and_jagged_mountains_east,volcanic_ash_southwest,farmlands_southwest,ice_glaciers_southeast",long_antenna,,,,3,overcast_coverage
Ireland,Europe,Dublin,"english,irish",,.ie,left,"left_blue_strip,white_back_plate",green_and_white_striped,yellow_on_black,"triangular_yellow_lightning_bolt,wooden_poles_with_pole_steps",,,"yellow_dashed_outer,white_center",,,"green_background,white_background,brown_background",,"yellow_diamond_shaped,YIELD,black_and_white_striped_with_yellow_bulb",,"white_houses_with_black_roofs,round_rural_metal_gates","rugged_and_hilly_west_coast,hilly_Cork,limestones_west",,,strip_of_grass_in_the_middle_of_roads,,"2,3,4",
Isle of Man,Europe,Douglas,english,,.im,left,"left_red_strip,white_front,yellow_rear","blue,uk_bollards",,wooden_poles,black_and_white,,"white_outer,white_center",,,green_background,,"triangular,white_background,red_border",,white_houses_with_entrance_walls,"hilly_farmland,narrow_roads,yellow_flowers",blurry_gen2,,,,2,
Italy,Europe,Rome,italian,,.it,right,"2_blue_stripes,short_front_plate",black_top_with_red_and_white_reflectors,white_on_black,"round_concrete_poles,wooden_poles_with_white_sticker,trident_pole_tops",,"type-A,double,red_reflectors","white_outer,white_center,yellow",,5_stripes,"street_names_ending_in_via,blue_background,white_arrow,green_background,SS_SR_SP,white_background_with_blue_outlines",,"black_black_side,white_markers",,"pastel_colored_stone_houses,wood_shutters,unpainted_brown_grey_bricks_Tuscany,alpine_north,very_light_colored_with_flat_roofs_southeast","agricultural_fields,rolling_hills,forested_mountain_valleys,flat_Padan_Plain,olive_plantations_southeast,red_soil_southeast,mountain_ranges_north,arid_and_hilly_Sicily,grey_rocks_stacked_up_Sardinia,cactus_south,citrus_eastern_Sicily,rice_north,Etna_volcano_eastern_Sicily",,,,,"2,3,4",
Jersey,Europe,Saint Helier,"english,french",,.je,left,"white_front,yellow_rear,starts_with_J",,white_on_black,,,,"yellow_outer,white_center,yellow_give_way_lines",,,"green_background,white_background,brown_background,green_lane_signs",,,,"red_granite_walls,yellow_telephone_booths,airport_southwest,chimney_south_coast,divided_road_south_coast",cornish_palms,green_purple_glitch_southwest,,,,2,sunny_coverage
Latvia,Europe,Riga,latvian,,.lv,right,left_blue_strip,"thin,black_diagonal_strip_with_white_or_yellow_reflector,number_below_reflector",red_on_white,"hook_shaped_insulators,alternating_pattern,leaning_poles_making_triangular_shape",,"type-A,red_or_white_reflectors","white_outer,white_center",bus_stop_signs_with_5_windows,"5_stripes,long_pedestrian_legs","blue_background,street_names_ending_in_iela,tall_house_numbers",,"blue_marker_parallel_to_road,white_background,red_inner_border,white_outer_border",,"wood,white_brick,corrugated_metal_roofs","flat,south_of_Riga",short_antenna,,,,"3,4",
Liechtenstein,Europe,Vaduz,german,,.li,right,"black_white_text,yellow_red_emblem","white,black_rectangle_with_white_reflector,rounded_top,wedge_shaped,wooden_post_on_guardrails",,,,,,"green_and_white_background_with_black_frame,red_Vaduz,black_Balzers,blue_with_thin_white_outline_south_or_Bandern,blue_without_outline_Eschen,simple_black_southeast,black_with_white_outline_and_embossed_text_Schaan,brown_north_and_Vaduz,brown_with_general_font_Planken","7_stripes,tall","blue_background,green_background,white_background,arrow_with_contrasting_color",,"road_separators,black_and_yellow_stripes,lego_like_blob_on_top,triangular,white_background,red_border,grey_metal_frame",,alpine_architecture,"flat,mountainous_east,forested_ridgeline_north,rolling_hills_north,rocky_mountains_southwest,along_mountain_slopes_south,lake_south_of_Steg",low_cam,,,,4,
Lithuania,Europe,Vilnius,lithuanian,,.lt,right,left_blue_strip,"white,black_rectangle_with_orange_and_white_reflector",red_on_white,"square_and_concrete,diagonal_support_beam,short_horizontal_bars,trident_shape,many_insulators",,"type-A,orange_reflectors","white_outer,white_center",bus_stop_signs_with_4_windows,3_stripes,"blue_background,street_names_ending_in_g_or_gatve,town_names_ending_in_AI",,"2_perpendicular_blue_markers_facing_road_at_45_degree_angle,white_background,red_inner_border,white_outer_border",,"light_colored_houses,steep_corrugated_metal_roofs,Scandinavian_structures_far_west","flat,hilly_southeast_and_northwest","short_antenna,random_blurs_gen3",,polish_language_southeast,,"3,4",
Luxembourg,Europe,Luxembourg,"luxembourgish,french,german",,.lu,right,"left_blue_strip,yellow","white,black_rectangle_with_grey_reflector,3_bolts","yellow_on_black,yellow_on_blue",upside_down_triangle,,,"white_outer,white_center",bus_stop_signs_with_6_windows,"5_stripes,belt","yellow_background,black_outlines,white_background,surrounded_by_metal_frame",,,"white,blue_and_white_stripes","dark_slate_roofs,pastel_colored_walls","green_rolling_hills,hilly_north,flat_south,vineyards_southeast",,,,,"2,3,4",
Malta,Europe,Valletta,"maltese,english",,.mt,left,left_blue_strip,,,,,stone_barriers_Gozo,"white_outer,white_center,double_yellow_parking_lines",bus_stop_signs_with_4_windows_and_door,,"street_names_ending_in_triq,blue_background_Valletta",,,,"white_or_beige_colored_buildings,balconies_painted_in_various_colors","dry_agricultureal_fields,cacti,dry_shrubs,limestone_rock_walls",blue_and_white_painted_ship_trekker_between_mainland_and_Gozo,,,,"3,4",
Monaco,Europe,Monaco,french,,.mc,right,"short,white_background","white,2_red_stripes,",,,red_and_white,,"white_outer,white_center",,,"green_background,white_background",,,,,"hilly,palm_trees","tunnel_coverage,the_boat_trekker_gen3",,parked_motorcycles,,"2,4",
Montenegro,Europe,Podgorica,montenegrin,,.me,right,"left_blue_strip,red_circle",black_top_with_red_and_white_reflectors,"black_on_white,red_on_yellow",simple_round_concrete_or_wooden_poles,,"type-A,type-B,rusted","white_outer,white_center,yellow_outer_south",,"5_stripes,no_belt","yellow_background,brown_background,blue_background",,"white_background,red_inner_border,white_outer_border",,red_tiled_roofs,"lush_inland_mountains,light_colored_rocks_coastal_mountains,agricultural_valleys_with_deforested_hills_northeast,dry_mountains_and_vineyards_around_Podgorica,pine_forests_east","short_antenna_and_no_rifts_coast,long_antenna_and_rifts_inland",,stone_blocks,TRUE,3,
Netherlands,Europe,Amsterdam,dutch,,.nl,right,"left_blue_strip,yellow,blue_taxis","white_bollard_with_red_reflector,black_bollards",,large_power_lines,,type-A,"white_outer,white_center,bicycle_paths",,,"blue_background,green_background,street_names_ending_in_straat_weg_laan_pad_plein,fietspad_bicycle_routes,white_background_with_red_border_bicycle_signs,highway_exit_UIT,brown_background_tourist_signs",,"green_markers,edge_color_visible_from_back","black_and_white,blue_and_white,bulky_yellow_posts_with_blue_circle_on_top","canals,ditches,dikes,red_or_brown_brick,orange_or_grey_roofs,row_houses,windmills,wind_turbines,large_roofs_north,rolling_shutters_south,green_houses_southwest","flat,trees_along_roads,marshy_north_and_west,low_hills_far_south,dunes_along_coast,north_coast_Wadden_Islands","black_rear_gen4,antenna",,"zigzag_pedestrian_paths,alternating_long_and_short_lines,brick_rumble_strip,markings_on_pavement_with_dutch_and_belgium_flags_Baarle",,"2,3,4",
North Macedonia,Europe,Skopje,macedonian,,.mk,right,"left_blue_strip,red_blur","white,black_rectangle_with_red_reflector,thin_version_with_black_top",red_on_white,"wooden_and_concrete_poles,6_insulators,large_power_lines,small_lamp_attached_with_round_shade,long_rectangular_lamps_Prilep",black_and_yellow_southeast,"type-A,red_reflectors","white_outer,white_center,triple_yellow_central",,5_stripes,yellow_background,,"yellow_background,red_border,green_markers",,,"dry_grasslands,small_hills","no_antenna,3_smudges_east,brown_smudge_southeast,fly_smudge_northeast",green_truck_west,yellow_hoods_with_black_and_white_checkerboard_patterns_taxis_in_Skopje,,3,
Norway,Europe,Oslo,norwegian,,.no,right,"left_blue_strip,green_commercial","thin,black_diagonal_strip_with_white_reflector,orange_snow_poles_with_white_band_middle,thin_wooden_snow_poles,underground_pipes",yellow_on_black,"wooden,black_metal_cap_on_top",,"type-A,wooden_posts,rusty_southwest_coast","white_outer,distinct_yellow_center,long_dashed_outer",bus_stop_signs_with_4_windows,"4_stripes,5_stripes_with_hat","yellow_background,white_background,street_names_ending_in_gate_gate_vei_veg_veien,small_white_square_signs",,"blue_background_with_M,Sone_speed_signs,white_background,red_border,green_markers,white_markers","red_or_black_plates_Oslo,2_red_stripes_Stavanger","wooden_houses,white,red,black,grass_covered_roofs","mountainous,fjords,bracken_south,spruces_central_and_south,pines_south,oaks_far_south,maples_far_south,brightly_colored_moss_south,large_farmlands_south,deep_fjords_surrounded_by_tall_mountains_southwest,rolling_hills_with_small_birches_far_north,barren_highlands_with_no_trees_southwest,exposed_rock_south_coast,coastal_grasslands_with_distant_mountains_and_no_trees_far_north",blue_rear_gen4,,"sami_language_far_north,green_fire_hydrants_Bergen,name_of_city_on_taxis",,"2,3,4",
Poland,Europe,Warsaw,polish,,.pl,right,left_blue_strip,red_strip_with_red_and_white_reflectors,red_on_white,"thin_holey_poles_not_extending_to_bottom,A_shape_poles",,"type-B,red_reflectors","white_outer,white_center",,solid_horizontal_line,"blue_background,green_background,turquoise_Bialystok,green_and_blue_Szczecin,black_and_blue_Poznan",,"yellow_background,white_background,red_border,diamond_signs",,"plain_stone_walls,pastel_colors,orange_red_black_brown_roofs,corrugated_roofs,detached_single_family_homes,tall_and_slim_houses_north","flat,rolling_hills,hilly_and_mountainous_south,green","white_rear_with_long_antenna,short_antenna",,"rows_of_trees,neatly_tiled_sidewalks,christian_shrines,Kashubian_language_northwest",,"2,3,4",
